Experiment,Time,A,B,C,D
1,0,0.145008,-0.0406171,-0.0948374,-0.149622
1,0.5,1.76462,0.422993,0.196141,-0.0920908
1,1,2.72237,0.762881,0.533295,0.41258
1,1.5,2.94171,0.86196,0.824648,0.459
1,2,2.95085,1.03191,1.45565,0.75222
1,2.5,3.0293,1.01331,1.77369,0.702901
1,3,3.12232,1.07728,2.34812,1.06785
1,3.5,3.01923,1.02596,2.36834,1.01649
1,4,2.98168,1.23379,2.54121,1.06044
1,4.5,3.00375,1.26703,2.82729,1.20816
1,5,3.03473,1.31488,2.91465,1.16077
1,5.5,2.96752,0.744781,2.96389,0.899272
1,6,3.03736,1.20092,3.27306,1.33565
1,6.5,2.96314,1.11696,2.96415,1.21335
1,7,2.90281,1.06521,3.17949,1.19657
1,7.5,3.12503,1.01016,3.00137,1.18207
1,8,2.99733,1.10431,3.19197,1.20731
1,8.5,3.11471,1.07185,3.04143,1.24198
1,9,2.8668,1.09488,3.13949,1.29857
1,9.5,3.11796,1.15954,3.15071,1.15412
1,10,3.00613,1.08645,3.17483,1.3569
