Experiment,Time,IFNbm,IFNb,IRF7m,SOCSm,TREX1m,IRF3c,Stingc
1,0,-,-,-,-,-,-,0.020308503
1,0.3333,-,-,-,-,-,-,0.020308503
1,0.3833,-,-,-,-,-,-,0
1,0.4333,-,-,-,-,-,-,0.075605537
1,0.4833,-,-,-,-,-,-,0.082817167
1,0.5333,-,-,-,-,-,-,0.02074328
1,0.5833,-,-,-,-,-,-,0.000926264
1,0.6333,-,-,-,-,-,-,0.083177906
1,0.6833,-,-,-,-,-,-,0.282764237
1,0.7333,-,-,-,-,-,-,0.308674434
1,0.7833,-,-,-,-,-,-,0.47488532
1,0.8333,-,-,-,-,-,-,0.622331477
1,0.8833,-,-,-,-,-,-,0.710287205
1,0.9333,-,-,-,-,-,-,0.83167824
1,0.9833,-,-,-,-,-,-,0.801505337
1,1.0333,-,-,-,-,-,-,0.859623697
1,1.0833,-,-,-,-,-,-,0.881214477
1,1.1333,-,-,-,-,-,-,0.885221988
1,1.1833,-,-,-,-,-,-,0.940975854
1,1.2333,-,-,-,-,-,-,0.988094038
1,1.2833,-,-,-,-,-,-,1
1,1.3333,-,-,-,-,-,-,0.992912818
1,1.3833,-,-,-,-,-,-,0.927020453
1,1.4333,-,-,-,-,-,-,0.877167585
1,1.4833,-,-,-,-,-,-,0.914646633
1,1.5333,-,-,-,-,-,-,0.926955867
1,1.5833,-,-,-,-,-,-,0.856942572
1,1.6333,-,-,-,-,-,-,0.766464821
1,1.6833,-,-,-,-,-,-,0.607790072
1,1.7333,-,-,-,-,-,-,0.568942105
1,1.7833,-,-,-,-,-,-,0.312831596
2,0,0,-,-,-,-,-,-
2,2.0332,0.104046351,-,-,-,-,-,-
2,4.0379,0.372832445,-,-,-,-,-,-
2,6,0.656069526,-,-,-,-,-,-
2,7.0095,0.771676168,-,-,-,-,-,-
2,9.0142,1,-,-,-,-,-,-
3,0,0,-,-,-,-,-,-
3,1.5075,0.112861342,-,-,-,-,-,-
3,3.2328,0.270342591,-,-,-,-,-,-
3,4.9246,1,-,-,-,-,-,-
3,8.325,0.496058685,-,-,-,-,-,-
4,0,0,-,-,-,-,-,-
4,1.5075,0.143838738,-,-,-,-,-,-
4,3.2328,0.506849668,-,-,-,-,-,-
4,4.9079,1,-,-,-,-,-,-
4,8.325,0.438352984,-,-,-,-,-,-
5,0,-,0,-,-,-,-,-
5,5.9481,-,1,-,-,-,-,-
5,23.9308,-,0.251122514,-,-,-,-,-
5,48,-,0.121077881,-,-,-,-,-
6,0,-,-,-,-,-,0,-
6,3,-,-,-,-,-,1,-
6,6,-,-,-,-,-,0.803383385,-
7,0,-,-,-,0,-,-,-
7,0.5,-,-,-,0.192110345,-,-,-
7,1,-,-,-,0.113296552,-,-,-
7,2,-,-,-,0.75862069,-,-,-
7,4,-,-,-,0.773393103,-,-,-
7,8,-,-,-,0.699503448,-,-,-
7,12,-,-,-,1,-,-,-
7,24,-,-,-,0.581282759,-,-,-
7,48,-,-,-,0.167489655,-,-,-
8,0,-,-,-,-,-,0.06738947,-
8,2,-,-,-,-,-,0.669674739,-
8,4,-,-,-,-,-,1,-
8,6,-,-,-,-,-,0.570992664,-
8,8,-,-,-,-,-,0.362137246,-
8,12,-,-,-,-,-,0.128968383,-
8,24,-,-,-,-,-,0,-
9,0,-,-,-,-,-,0,-
9,3,-,-,-,-,-,1,-
9,6,-,-,-,-,-,0.389547987,-
10,0,-,-,-,-,-,-,0
10,1,-,-,-,-,-,-,0.475712284
10,2,-,-,-,-,-,-,0.679413825
10,4,-,-,-,-,-,-,1
10,6,-,-,-,-,-,-,0.930464736
10,8,-,-,-,-,-,-,0.621029893
10,10,-,-,-,-,-,-,0.558033629
10,12,-,-,-,-,-,-,0.417678655
11,0,-,-,-,-,-,0,-
11,1,-,-,-,-,-,0.166258016,-
11,2,-,-,-,-,-,0.242408525,-
11,4,-,-,-,-,-,0.790739344,-
11,6,-,-,-,-,-,0.948462844,-
11,8,-,-,-,-,-,1,-
11,10,-,-,-,-,-,0.743115805,-
11,12,-,-,-,-,-,0.477178423,-
12,0,-,-,0,-,-,-,-
12,2,-,-,0.111723807,-,-,-,-
12,4,-,-,0.233277392,-,-,-,-
12,8,-,-,0.593485632,-,-,-,-
12,10,-,-,1,-,-,-,-
12,12,-,-,0.773572627,-,-,-,-
12,16,-,-,0.680343871,-,-,-,-
13,0,-,-,0.050631554,-,-,-,-
13,2,-,-,0,-,-,-,-
13,4,-,-,0.244173885,-,-,-,-
13,8,-,-,0.077905012,-,-,-,-
13,16,-,-,0.463166081,-,-,-,-
13,24,-,-,1,-,-,-,-
14,0,0,-,-,-,-,-,-
14,4.676923077,0.896907217,-,-,-,-,-,-
14,8.041025641,1,-,-,-,-,-,-
14,11.2,0.24742268,-,-,-,-,-,-
14,14.44102564,0.005154639,-,-,-,-,-,-
15,0,-,-,-,-,0,-,-
15,2,-,-,-,-,0.006134265,-,-
15,4,-,-,-,-,0.067483944,-,-
15,8,-,-,-,-,0.25153298,-,-
15,24,-,-,-,-,1,-,-
